@relation data_small

@attribute Date numeric
@attribute Gross_domestic_product numeric
@attribute Personal_consumption_expenditures numeric
@attribute Goods1 numeric
@attribute Durable_goods numeric
@attribute Nondurable_goods numeric
@attribute Services1 numeric
@attribute Gross_private_domestic_investment numeric
@attribute Fixed_investment numeric
@attribute Nonresidential numeric
@attribute Structures numeric
@attribute Equipment numeric
@attribute Intellectual_property_products numeric
@attribute Residential numeric
@attribute Change_in_private_inventories numeric
@attribute Net_exports_of_goods_and_services numeric
@attribute Exports numeric
@attribute Goods2 numeric
@attribute Services2 numeric
@attribute Imports numeric
@attribute Goods3 numeric
@attribute Services3 numeric
@attribute Government_consumption_expenditures_and_gross_investment numeric
@attribute Federal numeric
@attribute National_defense numeric
@attribute Nondefense numeric
@attribute State_and_local numeric

@data
1992.3,6492.3,4173.4,1548.2,501,1047.2,2625.2,1013.1,989.9,736.7,170.6,379.5,186.5,253.2,23.2,-32.8,626.2,448.8,177.4,659,537.9,121.1,1338.7,582.2,402.8,179.3,756.5
1992.5,6586.5,4245.4,1573.1,512.1,1061.1,2672.3,1024.2,1003.7,748.6,173,387.6,187.9,255.1,20.5,-38.5,639.4,460.6,178.8,677.9,553.9,124,1355.4,592.7,411.1,181.5,762.8
1992.8,6697.6,4326.2,1597.9,523.1,1074.8,2728.3,1058,1036.7,768.3,176.7,399.6,192.1,268.3,21.3,-47.1,641.4,462.2,179.2,688.5,564.5,124,1360.5,593,404.7,188.3,767.5
1993,6748.2,4368.5,1607,527.9,1079.1,2761.5,1083.9,1048,776.6,175.6,406.6,194.4,271.4,35.9,-55.7,643.6,460.4,183.2,699.3,575.9,123.4,1351.5,577,389.6,187.4,774.5
1993.3,6829.6,4437.5,1634.2,547.8,1086.3,2803.3,1094.5,1070.4,792.4,174.1,421.5,196.7,278,24.1,-63.2,653.1,466.9,186.2,716.3,590.1,126.1,1360.9,575.6,388.4,187.2,785.3
1993.5,6904.2,4506,1649.2,556.6,1092.5,2856.9,1095.9,1089.3,798.4,176,425,197.5,290.9,6.6,-68.4,650.9,462.6,188.3,719.3,592.1,127.1,1370.6,578.9,390,188.9,791.7
1993.8,7032.8,4572,1679.1,573.8,1105.3,2893,1153,1136.4,829.5,182.9,447.4,199.1,306.9,16.6,-73.4,671.6,481.1,190.5,745,612.9,132.1,1381.3,582,392.2,189.8,799.3
1994,7136.3,4640.9,1705.7,588.8,1116.8,2935.2,1202.1,1156.7,841.1,178.5,461.8,200.8,315.6,45.4,-80.6,681.2,484.1,197.1,761.8,627.2,134.6,1373.9,564.4,373.3,191.1,809.5
1994.3,7269.8,4702.9,1726.8,598.7,1128.1,2976.1,1265.1,1183.7,855.7,187.1,465.4,203.2,327.9,81.4,-90.6,707,505.3,201.7,797.6,662,135.5,1392.4,569,379.2,189.8,823.4
1994.5,7352.3,4773.1,1758.9,609.3,1149.6,3014.2,1251.6,1198.4,871.9,188.1,476.5,207.4,326.4,53.2,-96.9,736.9,533.8,203.1,833.8,695.7,138.1,1424.4,584,392.5,191.4,840.5
1994.8,7476.7,4847.2,1794.8,631.8,1163,3052.4,1307.2,1232,906.6,193.4,501.9,211.4,325.4,75.1,-101.9,758.6,550.3,208.3,860.6,722.3,138.2,1424.2,573.4,376.2,197.1,850.8
1995,7545.3,4883.3,1788.1,621.3,1166.9,3095.2,1327.3,1266.1,944.3,201.2,525.3,217.8,321.8,61.2,-105.3,781.6,571.6,210,886.9,745.5,141.4,1440,577.6,377.6,199.9,862.4
1995.3,7604.9,4955,1803.9,626.9,1177,3151.1,1303.8,1270.1,956.6,207.4,525.4,223.8,313.5,33.8,-109.5,798.9,583.2,215.7,908.3,764.3,144.1,1455.6,579.7,380.6,199.1,875.9
1995.5,7706.5,5020.5,1826.2,642.5,1183.7,3194.2,1303.2,1291.9,965.5,210.3,524.8,230.4,326.4,11.3,-74.4,831.4,605.8,225.6,905.8,759.7,146.1,1457.3,576.9,376.5,200.4,880.4
1995.8,7799.5,5077.9,1843.9,652.2,1191.7,3234,1335.6,1317.2,982.5,210.2,537,235.3,334.6,18.4,-69.8,839.4,609.3,230.2,909.2,760.4,148.8,1455.7,567.3,369.5,197.7,888.5
1996,7893.1,5153.8,1871,659.8,1211.2,3282.8,1355.2,1348.3,1003.6,214.3,546,243.3,344.7,6.9,-88.8,847.9,617.1,230.8,936.7,784.5,152.2,1472.9,577.2,375.3,201.9,895.8
1996.3,8061.5,5244.1,1915.9,676.3,1239.5,3328.3,1418.6,1388,1026.6,219.8,556.9,250,361.4,30.5,-93.7,859,621.2,237.9,952.8,798.4,154.4,1492.5,582.5,380.9,201.6,910
1996.5,8159,5298.3,1925.9,679.4,1246.5,3372.4,1474.4,1423.4,1059.1,225.3,577,256.8,364.3,51.1,-114.2,859.6,626.5,233.1,973.8,814.4,159.3,1500.5,576.9,376,200.9,923.6
1996.8,8287.1,5376.1,1957.9,689.6,1268.3,3418.1,1480,1445.3,1083.5,238.9,581.4,263.2,361.8,34.7,-88.8,903.8,650.3,253.5,992.6,832.5,160.2,1519.8,576.3,373.9,202.3,943.6
1997,8402.1,5456.7,1986.7,705.6,1281.1,3470,1522,1472.2,1106.8,242.7,587.5,276.7,365.4,49.8,-108.8,918.4,668.9,249.5,1027.2,861.5,165.8,1532.2,572.1,363.8,208.3,960.1
1997.3,8551.9,5495.1,1974.5,696.6,1277.9,3520.6,1589.9,1501.5,1129.2,242.6,602.3,284.2,372.3,88.4,-85.2,954.5,701,253.5,1039.7,872,167.7,1552.2,585.7,374.4,211.3,966.5
